ARG_ID,MGE_ID,MGE_Group,Donor,Pre,Post,PatientCount
AAC3,gene:plasmid:118521,likely IS/TE,0,0,3,2
AAC3,gene:plasmid:118522,likely IS/TE,0,0,3,2
AAC3,gene:plasmid:148233,plasmid,0,0,3,2
ACN,gene:plasmid:28516,plasmid,0,0,2,1
ACRD,gene:proph:163981,prophage,0,1,0,1
ACRD,gene:proph:182641,prophage,0,1,0,1
ACRD,gene:proph:182647,prophage,0,1,0,1
ACRD,gene:proph:183583,prophage,0,1,0,1
ACRD,gene:proph:183597,prophage,1,0,3,1
ACRD,gene:vir:6834,virus,1,0,3,1
ACRD,gene:vir:7156,virus,0,1,0,1
AMPH,gene:plasmid:151280,likely IS/TE,1,0,3,1
AMPH,gene:plasmid:88436,plasmid,0,0,3,1
AMPH,gene:plasmid:88436,plasmid,1,0,3,1
AMPH,gene:plasmid:88437,plasmid,0,0,3,1
AMPH,gene:proph:170528,prophage,1,0,3,1
AMPH,gene:proph:170536,prophage,1,0,3,1
AMPH,gene:proph:170537,prophage,1,0,3,1
AMPH,gene:proph:170540,prophage,1,0,3,1
APH3-DPRIME,gene:plasmid:20177,plasmid,0,0,1,1
APH3-DPRIME,gene:plasmid:20178,plasmid,0,0,1,1
ARIR,gene:proph:172517,prophage,0,1,0,1
ARIR,gene:proph:172518,prophage,0,1,0,1
ARIR,gene:proph:172519,prophage,0,1,0,1
ARIR,gene:proph:172520,prophage,0,1,0,1
ARIR,gene:proph:172521,prophage,0,1,0,1
ARIR,gene:proph:172522,prophage,0,1,0,1
ARIR,gene:proph:172523,prophage,0,1,0,1
ARIR,gene:proph:179433,prophage,0,0,3,2
ARIR,gene:proph:181220,prophage,0,0,3,1
ARIR,gene:proph:183636,prophage,0,1,0,1
ARIR,gene:proph:183637,prophage,0,1,0,1
ARSB,gene:plasmid:156052,plasmid,0,0,1,1
ARSB,gene:plasmid:88331,plasmid,0,0,1,1
ARSB,gene:plasmid:88409,plasmid,0,1,0,1
ARSB,gene:plasmid:88437,plasmid,0,1,1,1
ARSB,gene:plasmid:91925,plasmid,0,1,0,1
ARSB,gene:plasmid:91925,plasmid,0,1,1,1
ARSB,gene:plasmid:91966,likely IS/TE,0,1,1,1
ARSB,gene:plasmid:91985,plasmid,0,1,0,1
ARSB,gene:plasmid:91985,plasmid,0,1,1,1
ARSRM,gene:plasmid:117671,plasmid,0,1,0,1
ARSRM,gene:plasmid:117686,plasmid,0,1,0,1
ARSRM,gene:plasmid:117701,plasmid,0,1,0,1
ARSRM,gene:plasmid:16011,plasmid,0,1,0,1
ARSRM,gene:plasmid:88468,plasmid,0,1,0,1
ARSRM,gene:proph:183000,prophage,0,1,0,1
ASMA,gene:plasmid:123300,plasmid,0,1,0,1
ASMA,gene:plasmid:123301,likely IS/TE,0,1,0,1
BHSA,gene:proph:172517,prophage,0,0,3,1
BHSA,gene:proph:172518,prophage,0,0,3,1
BHSA,gene:proph:172519,prophage,0,0,3,1
BHSA,gene:proph:172520,prophage,0,0,3,1
BHSA,gene:proph:172521,prophage,0,0,3,1
BHSA,gene:proph:172523,prophage,0,0,3,1
BHSA,gene:proph:172524,prophage,0,0,3,1
BHSA,gene:proph:176039,prophage,0,0,3,1
BHSA,gene:proph:181222,prophage,0,0,3,1
CADX,gene:plasmid:17163,likely IS/TE,0,1,0,1
CADX,gene:proph:175652,prophage,0,0,1,1
CADX,gene:proph:175655,prophage,0,0,1,1
CADX,gene:proph:175656,prophage,0,0,1,1
CADX,gene:proph:175658,prophage,0,0,1,1
CEPAB,gene:vir:98538,virus,1,0,3,1
CFX,gene:plasmid:141426,plasmid,0,1,3,2
CFX,gene:plasmid:141426,plasmid,1,0,3,7
CFX,gene:plasmid:141426,plasmid,1,1,3,2
COMR,gene:proph:172517,prophage,0,0,1,1
COMR,gene:proph:172518,prophage,0,0,1,1
COMR,gene:proph:172519,prophage,0,0,1,1
COMR,gene:proph:172520,prophage,0,0,1,1
COMR,gene:proph:172521,prophage,0,0,1,1
COMR,gene:proph:172522,prophage,0,0,1,1
COMR,gene:proph:172523,prophage,0,0,1,1
COMR,gene:proph:172524,prophage,0,0,1,1
CORA,gene:plasmid:123252,plasmid,0,0,3,1
CORA,gene:plasmid:123253,plasmid,0,0,3,1
CORA,gene:plasmid:123254,plasmid,0,0,3,1
CORA,gene:plasmid:24561,plasmid,0,0,2,1
CORA,gene:plasmid:24561,plasmid,0,0,3,2
CORA,gene:plasmid:24561,plasmid,0,1,0,2
CORA,gene:proph:159396,prophage,0,1,0,2
CORA,gene:proph:159396,prophage,1,0,3,1
CORA,gene:proph:176833,prophage,0,1,0,1
CORA,gene:proph:176835,prophage,0,1,0,1
CORB,gene:proph:163976,likely IS/TE,0,0,3,1
CORB,gene:proph:175016,prophage,0,1,0,1
CORC,gene:plasmid:24609,plasmid,0,0,1,1
CORC,gene:plasmid:24610,plasmid,0,0,1,1
CPXAR,gene:vir:2050,virus,0,1,0,1
CPXAR,gene:vir:2051,virus,0,1,0,1
CPXAR,gene:vir:5719,virus,0,1,0,1
CPXAR,gene:vir:5725,virus,0,1,0,1
CRP,gene:plasmid:21818,plasmid,0,1,0,1
CTX,gene:plasmid:117692,plasmid,0,1,0,1
CTX,gene:plasmid:117725,likely IS/TE,0,1,0,1
CTX,gene:plasmid:117744,likely IS/TE,0,1,0,1
CTX,gene:plasmid:117746,likely IS/TE,0,1,0,1
CTX,gene:plasmid:117832,plasmid,0,1,0,1
CTX,gene:plasmid:117841,plasmid,0,1,0,1
CTX,gene:plasmid:139649,plasmid,0,0,3,1
CTX,gene:plasmid:142025,likely IS/TE,0,1,0,1
CTX,gene:plasmid:156035,plasmid,1,0,3,1
CTX,gene:plasmid:156128,plasmid,0,1,0,1
CTX,gene:plasmid:156131,likely IS/TE,0,1,0,1
CTX,gene:plasmid:15811,likely IS/TE,0,1,0,1
CTX,gene:plasmid:19426,plasmid,0,0,3,1
CTX,gene:plasmid:88343,plasmid,0,1,0,1
CTX,gene:plasmid:88409,plasmid,0,1,0,1
CTX,gene:plasmid:88435,plasmid,0,1,0,1
CTX,gene:plasmid:88436,plasmid,0,1,0,1
CTX,gene:plasmid:88437,plasmid,0,1,0,1
CTX,gene:plasmid:92140,plasmid,0,1,0,1
CTX,gene:plasmid:92141,plasmid,0,1,0,1
CUID,gene:plasmid:21346,plasmid,0,1,0,1
CUSR,gene:plasmid:117449,likely IS/TE,0,1,0,1
CUSS,gene:proph:183637,prophage,0,0,3,1
DFRA,gene:plasmid:158836,plasmid,0,0,3,1
DFRA,gene:plasmid:19404,plasmid,0,0,2,1
DFRA,gene:plasmid:19405,plasmid,0,0,2,1
DFRA,gene:plasmid:19406,plasmid,0,0,2,1
DFRA,gene:plasmid:19407,plasmid,0,0,2,1
DFRA,gene:plasmid:19408,plasmid,0,0,2,1
DFRA,gene:plasmid:19409,plasmid,0,0,2,1
DFRA,gene:plasmid:82857,likely IS/TE,0,0,3,1
DNAK,gene:plasmid:158140,plasmid,0,1,0,1
DSBA,gene:plasmid:84585,plasmid,0,1,0,1
DSBC,gene:plasmid:117445,likely IS/TE,0,0,1,1
DSBC,gene:plasmid:121422,likely IS/TE,0,0,1,1
DSBC,gene:plasmid:148202,likely IS/TE,0,0,1,1
EMRB,gene:proph:179438,prophage,0,0,3,1
EMRK,gene:proph:181243,prophage,0,1,0,1
EMRR,gene:proph:163976,likely IS/TE,0,1,0,1
EMRR,gene:proph:170528,prophage,1,0,3,1
EMRR,gene:proph:170536,prophage,1,0,3,1
EPTB,gene:plasmid:86276,plasmid,0,1,0,1
ERMB,gene:plasmid:136912,plasmid,0,1,0,1
ERMB,gene:plasmid:28967,plasmid,0,1,0,1
ERMB,gene:plasmid:28968,plasmid,0,1,0,1
ERMF,gene:plasmid:141421,plasmid,1,0,3,3
ERMF,gene:plasmid:141425,plasmid,1,0,3,3
ERMF,gene:plasmid:141426,plasmid,1,0,3,3
ERMF,gene:plasmid:141427,plasmid,1,0,3,3
ERMX,gene:plasmid:14929,likely IS/TE,1,0,3,3
ERMX,gene:plasmid:14930,likely IS/TE,1,0,3,3
ERMX,gene:plasmid:14955,likely IS/TE,0,0,2,3
EVGA,gene:proph:177459,prophage,0,0,1,1
EVGA,gene:proph:181243,prophage,0,0,1,1
EVGA,gene:vir:131,virus,0,0,1,1
EVGA,gene:vir:1911,virus,0,0,1,1
FECD,gene:plasmid:142013,likely IS/TE,0,0,3,1
FECD,gene:plasmid:142025,likely IS/TE,0,0,3,1
FECD,gene:plasmid:151269,plasmid,0,1,0,1
FECD,gene:plasmid:151295,plasmid,0,1,0,1
FECD,gene:plasmid:151322,plasmid,0,1,0,1
FECD,gene:plasmid:151323,plasmid,0,1,0,1
FECD,gene:plasmid:156052,plasmid,0,0,3,1
FECD,gene:plasmid:156052,plasmid,0,1,0,2
FECD,gene:plasmid:25296,likely IS/TE,0,0,3,1
FECD,gene:plasmid:25689,likely IS/TE,0,0,3,1
FECD,gene:plasmid:88420,likely IS/TE,0,1,0,1
FECD,gene:vir:105410,virus,0,1,0,1
GLPF,gene:proph:163815,prophage,0,1,0,1
GLPF,gene:vir:5712,virus,0,1,0,1
GLPF,gene:vir:5713,virus,0,1,0,1
GLPF,gene:vir:5715,virus,0,1,0,1
GLPF,gene:vir:5718,virus,0,1,0,1
GLPF,gene:vir:6084,virus,0,1,0,1
HNS,gene:plasmid:112498,plasmid,0,1,0,1
HNS,gene:plasmid:123360,plasmid,0,1,0,1
HNS,gene:plasmid:123361,plasmid,0,1,0,1
HNS,gene:plasmid:123362,plasmid,0,1,0,1
HNS,gene:plasmid:123363,plasmid,0,1,0,1
HNS,gene:plasmid:149415,plasmid,0,1,0,1
HNS,gene:plasmid:25369,likely IS/TE,0,0,3,1
KDEA,gene:plasmid:130030,plasmid,0,1,0,1
KDEA,gene:plasmid:93448,plasmid,0,1,0,1
KDEA,gene:proph:163818,prophage,0,1,0,1
KDEA,gene:proph:169464,prophage,0,1,0,1
KDEA,gene:proph:169512,prophage,0,1,0,1
KDEA,gene:proph:173726,prophage,0,1,0,1
KDPE,gene:plasmid:142103,likely IS/TE,0,0,3,1
KDPE,gene:plasmid:24609,plasmid,1,0,3,1
KMRA,gene:plasmid:149414,plasmid,0,1,0,1
KPNE,gene:plasmid:16025,likely IS/TE,0,1,0,1
KPNE,gene:plasmid:16026,plasmid,0,1,0,1
KPNE,gene:plasmid:16027,plasmid,0,1,0,1
KPNE,gene:plasmid:16031,plasmid,0,1,0,1
KPNE,gene:plasmid:16032,plasmid,0,1,0,1
KPNE,gene:plasmid:83736,likely IS/TE,0,1,0,1
KPNE,gene:plasmid:92146,plasmid,0,1,0,1
KPNE,gene:plasmid:92147,plasmid,0,1,0,1
