ARG_ID,MGE_ID,MGE_Group,Donor,Pre,Post,PatientCount
AAC3,gene:plasmid:14303,plasmid,0,0,3,1
AAC3,gene:plasmid:14303,plasmid,1,0,3,1
AAC3,gene:plasmid:14304,plasmid,0,0,3,1
AAC3,gene:plasmid:14304,plasmid,1,0,3,1
AAC3,gene:plasmid:158830,plasmid,0,0,3,1
AAC3,gene:plasmid:158830,plasmid,1,0,3,1
AAC6-PRIME,gene:plasmid:13101,plasmid,0,1,0,1
AAC6-PRIME,gene:plasmid:15542,plasmid,1,0,3,1
AAC6-PRIME,gene:plasmid:15547,likely IS/TE,0,0,1,1
AAC6-PRIME,gene:plasmid:15632,likely IS/TE,0,0,1,1
AAC6-PRIME,gene:plasmid:15632,likely IS/TE,0,1,0,1
AAC6-PRIME,gene:plasmid:28968,plasmid,0,0,1,1
AAC6-PRIME,gene:plasmid:28968,plasmid,1,0,3,1
AAC6-PRIME,gene:proph:167231,likely IS/TE,0,0,1,1
ACN,gene:plasmid:118383,plasmid,0,0,1,1
ACN,gene:plasmid:28516,plasmid,1,0,3,1
ACRA,gene:proph:170892,prophage,0,1,0,3
ACRA,gene:proph:173723,prophage,0,1,0,2
ACRA,gene:proph:176924,prophage,1,0,3,1
ACRD,gene:plasmid:142099,plasmid,0,1,0,1
ACRD,gene:plasmid:15815,likely IS/TE,0,1,0,1
ACRD,gene:plasmid:15816,likely IS/TE,0,1,0,1
ACRD,gene:proph:163979,prophage,0,1,1,1
ACRD,gene:proph:176871,prophage,0,1,0,1
ACRD,gene:proph:176873,prophage,0,1,0,1
ACRD,gene:proph:176874,prophage,0,1,0,1
ACRD,gene:proph:176880,prophage,0,1,0,1
ACRD,gene:proph:176884,prophage,0,1,0,1
ACRD,gene:proph:176893,prophage,0,1,0,1
ACRD,gene:proph:176897,prophage,0,1,0,1
ACRD,gene:proph:176902,prophage,0,1,0,1
ACRD,gene:proph:176905,prophage,0,1,0,1
ACRD,gene:proph:176909,prophage,0,1,0,1
ACRD,gene:proph:182641,prophage,0,1,0,1
ACRD,gene:proph:182647,prophage,0,1,0,1
ACRD,gene:proph:182649,prophage,0,1,0,1
ACRD,gene:proph:183583,prophage,0,1,0,2
ACRD,gene:proph:183597,prophage,0,1,0,2
ACRD,gene:proph:183597,prophage,0,1,1,1
ACRD,gene:proph:183597,prophage,0,1,3,1
ACRD,gene:proph:184642,prophage,0,1,0,1
ACRD,gene:proph:184643,prophage,0,1,0,1
ACRD,gene:proph:184644,prophage,0,1,0,1
ACRD,gene:vir:104367,virus,0,1,0,1
ACRD,gene:vir:105421,virus,0,1,0,1
ACRD,gene:vir:6834,virus,0,0,3,1
ACRD,gene:vir:6834,virus,0,1,0,1
ACRD,gene:vir:7156,virus,0,1,0,2
ACRD,gene:vir:95310,virus,0,1,0,1
ACRD,gene:vir:95311,virus,0,1,0,1
ACRD,gene:vir:95313,virus,0,1,0,1
ACRD,gene:vir:95314,virus,0,1,0,1
ACRD,gene:vir:95318,virus,0,1,0,1
ACRD,gene:vir:95319,virus,0,1,0,1
ACRD,gene:vir:95322,virus,0,1,0,1
ACRD,gene:vir:95323,virus,0,1,0,1
ACRD,gene:vir:95324,virus,0,1,0,1
ACRD,gene:vir:95326,virus,0,1,0,1
ACRD,gene:vir:95330,virus,0,1,0,1
ACRD,gene:vir:95331,virus,0,1,0,1
ACRD,gene:vir:95347,virus,0,1,0,1
ACRD,gene:vir:95348,virus,0,1,0,1
ACRD,gene:vir:95349,virus,0,1,0,1
ACRD,gene:vir:95350,virus,0,1,0,1
ACRD,gene:vir:95351,virus,0,1,0,1
ACRD,gene:vir:95352,virus,0,1,0,1
ACRD,gene:vir:95353,virus,0,1,0,1
ACRD,gene:vir:95355,virus,0,1,0,1
ACRD,gene:vir:95356,virus,0,1,0,1
ACRD,gene:vir:95357,virus,0,1,0,1
ACRD,gene:vir:95359,virus,0,1,0,1
ACRS,gene:plasmid:123257,plasmid,0,0,1,2
ACRS,gene:plasmid:123257,plasmid,0,1,0,2
ACRS,gene:plasmid:123257,plasmid,1,0,3,1
ACRS,gene:plasmid:93474,plasmid,0,0,3,1
ACRS,gene:plasmid:93482,plasmid,0,0,3,1
ACRS,gene:proph:163818,prophage,0,0,1,4
ACRS,gene:proph:163818,prophage,0,0,3,2
ACRS,gene:proph:163818,prophage,0,1,0,4
ACRS,gene:proph:163818,prophage,1,0,3,1
AMPH,gene:plasmid:123175,plasmid,0,0,1,1
AMPH,gene:plasmid:148055,plasmid,0,0,3,1
AMPH,gene:plasmid:21909,plasmid,0,1,0,1
AMPH,gene:plasmid:87451,likely IS/TE,0,1,0,1
AMPH,gene:plasmid:87452,plasmid,0,1,0,1
AMPH,gene:plasmid:88435,plasmid,0,0,1,1
AMPH,gene:plasmid:88435,plasmid,0,1,0,1
AMPH,gene:plasmid:88436,plasmid,0,1,0,2
AMPH,gene:plasmid:88436,plasmid,0,1,1,1
AMPH,gene:plasmid:88437,plasmid,0,0,1,1
AMPH,gene:plasmid:88437,plasmid,0,1,0,3
AMPH,gene:plasmid:88437,plasmid,0,1,1,1
AMPH,gene:proph:170892,prophage,0,0,3,1
AMPH,gene:proph:173723,prophage,0,1,0,1
ANT3-DPRIME,IncI1_1_Alpha_AP005147,Inc_plasmid,0,0,1,1
ANT3-DPRIME,IncI1_1_Alpha_AP005147,Inc_plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:117709,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117709,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:117711,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117712,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117713,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117713,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:117714,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117715,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117716,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117717,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117736,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:117738,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117738,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:117740,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117742,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117742,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:117819,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:117821,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117821,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:117823,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:117823,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:119667,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:121415,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:121415,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:121416,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:121416,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:121434,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:121436,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:121436,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:121505,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:121507,likely IS/TE,0,0,3,1
ANT3-DPRIME,gene:plasmid:121507,likely IS/TE,0,1,0,1
ANT3-DPRIME,gene:plasmid:121510,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:121510,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:121584,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:121584,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:123182,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:123367,likely IS/TE,0,0,1,1
ANT3-DPRIME,gene:plasmid:123367,likely IS/TE,0,1,0,1
ANT3-DPRIME,gene:plasmid:151217,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:151237,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:151239,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:151239,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:151240,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:151241,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:151243,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:151243,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:151245,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:151254,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:151273,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:151273,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:151274,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:151274,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:151275,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:151275,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:151286,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:151291,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:151291,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:151429,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:151429,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:152440,likely IS/TE,0,0,3,1
ANT3-DPRIME,gene:plasmid:152440,likely IS/TE,0,1,0,1
ANT3-DPRIME,gene:plasmid:15989,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:16015,likely IS/TE,0,1,0,1
ANT3-DPRIME,gene:plasmid:19399,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:19401,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:19402,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:19403,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:19403,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:19404,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:19404,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:19405,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:19405,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:19406,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19407,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19407,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:19408,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19408,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:19409,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19409,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:19413,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19413,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:19447,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19447,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:19451,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19453,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19454,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19455,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19456,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19464,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:19467,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19467,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:19468,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:19489,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:19493,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:19493,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:19497,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:19497,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:19506,plasmid,0,0,1,1
ANT3-DPRIME,gene:plasmid:19506,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24743,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:24743,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24751,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:24751,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24760,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:24763,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:24763,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24764,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:24765,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24766,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24768,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24769,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:24769,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24770,plasmid,0,0,3,1
ANT3-DPRIME,gene:plasmid:24770,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24771,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24773,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24775,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24776,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24777,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24778,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24779,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24780,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24781,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24791,plasmid,0,1,0,1
ANT3-DPRIME,gene:plasmid:24793,plasmid,0,0,1,1
