ARG_ID,MGE_ID,Donor,Pre,Post,PatientCount
AAC3,gene:plasmid:118521,0,0,1,2
AAC3,gene:plasmid:118521,0,1,1,2
AAC3,gene:plasmid:118522,0,0,1,2
AAC3,gene:plasmid:14302,0,0,1,1
AAC3,gene:plasmid:148234,0,0,1,1
AAC3,gene:plasmid:148234,0,1,0,1
AAC3,gene:plasmid:84283,0,0,1,1
AAC3,gene:plasmid:84283,0,1,0,1
AAC6-PRIME,gene:plasmid:15547,0,0,1,1
AAC6-PRIME,gene:plasmid:15547,1,0,0,1
AAC6-PRIME,gene:plasmid:15632,0,0,1,1
AAC6-PRIME,gene:plasmid:15632,0,1,0,1
AAC6-PRIME,gene:plasmid:17458,0,0,1,1
AAC6-PRIME,gene:proph:167228,0,1,0,1
AAC6-PRIME,gene:proph:167231,0,0,1,1
AAC6-PRIME,gene:proph:167231,1,0,0,1
ACRD,gene:plasmid:15815,0,1,0,1
ACRD,gene:plasmid:15816,0,1,0,1
AMPH,gene:plasmid:151280,1,0,0,1
AMPH,gene:plasmid:87451,0,1,0,1
ANT3-DPRIME,gene:plasmid:121507,0,0,1,1
ANT3-DPRIME,gene:plasmid:121507,0,1,0,1
ANT3-DPRIME,gene:plasmid:123367,0,0,1,1
ANT3-DPRIME,gene:plasmid:123367,0,1,0,1
ANT3-DPRIME,gene:plasmid:152440,0,0,1,1
ANT3-DPRIME,gene:plasmid:152440,0,1,0,1
ANT3-DPRIME,gene:plasmid:16015,0,1,0,1
ANT6,gene:plasmid:15665,0,0,1,2
ANT6,gene:plasmid:15665,0,1,0,1
APH3-DPRIME,gene:plasmid:142025,0,1,0,1
APH3-DPRIME,gene:plasmid:15301,0,1,0,2
APH3-DPRIME,gene:plasmid:15302,0,1,0,2
APH3-DPRIME,gene:plasmid:15303,0,1,0,1
APH3-DPRIME,gene:plasmid:15306,0,1,0,1
APH3-DPRIME,gene:plasmid:154429,0,1,0,1
APH3-DPRIME,gene:plasmid:87059,0,1,0,1
APH3-DPRIME,gene:plasmid:87066,0,1,0,1
APH3-DPRIME,gene:plasmid:90631,0,1,0,1
APH3-DPRIME,gene:plasmid:90633,0,1,0,2
APH6,gene:plasmid:16015,0,1,0,1
ARIR,gene:plasmid:117813,0,0,1,1
ARIR,gene:plasmid:142103,0,0,1,1
ARIR,gene:plasmid:15993,0,0,1,1
ARIR,gene:plasmid:15994,0,0,1,1
ARIR,gene:plasmid:25369,0,0,1,1
ARR,gene:plasmid:139639,0,1,0,1
ARR,gene:plasmid:149101,0,1,0,1
ARSB,gene:plasmid:91966,0,1,1,1
ARSCM,gene:plasmid:156104,0,1,0,1
ARSCM,gene:plasmid:16991,0,1,0,1
ARSRM,gene:plasmid:117744,0,1,0,1
ARSRM,gene:plasmid:117746,0,1,0,1
ARSRM,gene:plasmid:127984,0,1,0,1
ARSRM,gene:plasmid:142025,0,1,0,3
ARSRM,gene:plasmid:142078,0,1,0,1
ARSRM,gene:plasmid:148150,0,1,0,1
ARSRM,gene:plasmid:149101,0,1,0,1
ARSRM,gene:plasmid:15811,0,1,0,1
ARSRM,gene:plasmid:16003,0,1,0,1
ARSRM,gene:plasmid:16991,0,1,0,1
ARSRM,gene:plasmid:88300,0,0,1,1
ARSRM,gene:plasmid:88300,0,1,0,1
ARSRM,gene:plasmid:88301,0,1,0,1
ARSRM,gene:plasmid:88325,0,1,0,1
ARSRM,gene:plasmid:88332,0,1,0,1
ARSRM,gene:plasmid:88333,0,1,0,1
ARSRM,gene:plasmid:88443,0,1,0,1
ARSRM,gene:plasmid:88445,0,1,0,1
ARSRM,gene:plasmid:88455,0,1,0,1
ARSRM,gene:plasmid:88456,0,1,0,1
ARSRM,gene:plasmid:88457,0,1,0,1
ARSRM,gene:plasmid:88624,0,1,0,1
ARSRM,gene:proph:163834,0,1,0,1
ARSRM,gene:proph:169103,0,1,0,1
ASMA,gene:plasmid:123301,0,1,0,1
BACA,gene:plasmid:117725,0,1,0,1
BACA,gene:plasmid:142025,0,1,0,1
BCR,gene:plasmid:123177,0,0,1,1
CADX,gene:plasmid:17163,0,1,0,1
CHAA,gene:plasmid:117813,0,0,1,1
CHAA,gene:plasmid:15993,0,0,1,1
CHAA,gene:plasmid:15994,0,0,1,1
CMY,gene:plasmid:117706,0,0,1,1
CMY,gene:plasmid:14229,0,1,1,1
CMY,gene:proph:163917,0,0,1,1
CMY,gene:proph:163922,0,0,1,1
CMY,gene:proph:163923,0,0,1,1
COMR,gene:plasmid:84614,0,0,1,1
COMR,gene:plasmid:84622,0,0,1,1
COPA,gene:plasmid:151280,0,0,1,1
COPA,gene:proph:159032,1,0,0,1
CORA,gene:plasmid:121888,0,0,1,1
CORB,gene:plasmid:123353,0,0,1,1
CORB,gene:plasmid:24510,0,0,1,1
CORB,gene:proph:163976,0,0,1,12
CORB,gene:proph:163976,0,1,0,7
CORB,gene:proph:163976,0,1,1,4
CORB,gene:proph:163976,1,0,0,1
CRP,gene:plasmid:154042,0,0,1,1
CRP,gene:plasmid:154043,0,0,1,1
CTX,gene:plasmid:117695,0,1,0,1
CTX,gene:plasmid:117725,0,0,1,1
CTX,gene:plasmid:117725,0,1,0,1
CTX,gene:plasmid:117744,0,1,0,2
CTX,gene:plasmid:117746,0,1,0,2
CTX,gene:plasmid:117749,0,0,1,1
CTX,gene:plasmid:117813,0,0,1,1
CTX,gene:plasmid:119712,0,1,0,1
CTX,gene:plasmid:121468,0,1,0,1
CTX,gene:plasmid:121888,0,0,1,1
CTX,gene:plasmid:139639,0,1,0,1
CTX,gene:plasmid:142025,0,1,0,4
CTX,gene:plasmid:151265,0,1,0,1
CTX,gene:plasmid:155923,0,1,0,1
CTX,gene:plasmid:155994,0,0,1,1
CTX,gene:plasmid:155994,0,1,0,3
CTX,gene:plasmid:156131,0,1,0,1
CTX,gene:plasmid:15709,0,0,1,1
CTX,gene:plasmid:15811,0,1,0,2
CTX,gene:plasmid:16003,0,1,0,1
CTX,gene:plasmid:24612,0,0,1,1
CTX,gene:plasmid:83661,0,0,1,1
CTX,gene:plasmid:88333,0,1,0,1
CTX,gene:plasmid:88444,0,0,1,1
CTX,gene:plasmid:88445,0,1,0,2
CTX,gene:plasmid:88453,0,0,1,1
CTX,gene:plasmid:88453,0,1,0,3
CTX,gene:plasmid:88454,0,0,1,1
CTX,gene:plasmid:88454,0,1,0,2
CTX,gene:plasmid:88456,0,1,0,1
CTX,gene:plasmid:88457,0,1,0,1
CTX,gene:plasmid:91761,0,0,1,1
CTX,gene:plasmid:91966,0,0,1,1
CTX,gene:plasmid:92142,0,0,1,1
CTX,gene:proph:163909,0,1,0,1
CUSA,gene:plasmid:155923,0,1,0,2
CUSA,gene:plasmid:156042,0,1,0,2
CUSB,gene:plasmid:142025,0,1,0,1
CUSB,gene:plasmid:155923,0,1,0,2
CUSB,gene:plasmid:156042,0,1,0,1
CUSR,gene:plasmid:117449,0,0,1,3
CUSR,gene:plasmid:117449,0,1,0,1
CUSR,gene:plasmid:151280,0,0,1,1
CUTA,gene:plasmid:15768,0,1,0,1
CUTA,gene:proph:169111,0,0,1,1
