ARG_ID,MGE_ID,Donor,Pre,Post,PatientCount
ACRA,gene:proph:170892,0,1,0,3
ACRA,gene:proph:173723,0,1,0,2
ACRA,gene:proph:176924,1,0,0,1
ACRD,gene:proph:163979,0,1,1,1
ACRD,gene:proph:163981,0,0,1,1
ACRD,gene:proph:163981,0,1,0,1
ACRD,gene:proph:176871,0,1,0,1
ACRD,gene:proph:176873,0,1,0,1
ACRD,gene:proph:176874,0,1,0,1
ACRD,gene:proph:176880,0,1,0,1
ACRD,gene:proph:176884,0,1,0,1
ACRD,gene:proph:176893,0,1,0,1
ACRD,gene:proph:176897,0,1,0,1
ACRD,gene:proph:176902,0,1,0,1
ACRD,gene:proph:176905,0,1,0,1
ACRD,gene:proph:176909,0,1,0,1
ACRD,gene:proph:182641,0,0,1,1
ACRD,gene:proph:182641,0,1,0,2
ACRD,gene:proph:182647,0,1,0,2
ACRD,gene:proph:182649,0,1,0,1
ACRD,gene:proph:183583,0,0,1,1
ACRD,gene:proph:183583,0,1,0,3
ACRD,gene:proph:183597,0,1,0,2
ACRD,gene:proph:183597,0,1,1,2
ACRD,gene:proph:183597,1,0,0,1
ACRD,gene:proph:184642,0,1,0,1
ACRD,gene:proph:184643,0,1,0,1
ACRD,gene:proph:184644,0,0,1,1
ACRD,gene:proph:184644,0,1,0,1
ACRS,gene:proph:163818,0,0,1,7
ACRS,gene:proph:163818,0,1,0,4
ACRS,gene:proph:163818,1,0,0,1
AMPH,gene:proph:170528,1,0,0,1
AMPH,gene:proph:170536,1,0,0,1
AMPH,gene:proph:170537,1,0,0,1
AMPH,gene:proph:170540,1,0,0,1
AMPH,gene:proph:170892,0,0,1,1
AMPH,gene:proph:173723,0,1,0,1
ARIR,gene:proph:169115,0,0,1,1
ARIR,gene:proph:172517,0,0,1,2
ARIR,gene:proph:172517,0,1,0,3
ARIR,gene:proph:172518,0,0,1,2
ARIR,gene:proph:172518,0,1,0,3
ARIR,gene:proph:172519,0,0,1,2
ARIR,gene:proph:172519,0,1,0,3
ARIR,gene:proph:172520,0,0,1,2
ARIR,gene:proph:172520,0,1,0,3
ARIR,gene:proph:172521,0,0,1,2
ARIR,gene:proph:172521,0,1,0,3
ARIR,gene:proph:172522,0,0,1,2
ARIR,gene:proph:172522,0,1,0,2
ARIR,gene:proph:172523,0,0,1,2
ARIR,gene:proph:172523,0,1,0,3
ARIR,gene:proph:172524,0,0,1,2
ARIR,gene:proph:172524,0,1,0,2
ARIR,gene:proph:172602,0,0,1,1
ARIR,gene:proph:176798,0,1,0,1
ARIR,gene:proph:176813,0,0,1,1
ARIR,gene:proph:176814,0,0,1,1
ARIR,gene:proph:177632,0,0,1,1
ARIR,gene:proph:177685,0,0,1,1
ARIR,gene:proph:177696,0,0,1,1
ARIR,gene:proph:179433,0,0,1,4
ARIR,gene:proph:179433,0,1,0,1
ARIR,gene:proph:179434,0,0,1,1
ARIR,gene:proph:179435,0,0,1,1
ARIR,gene:proph:181125,0,0,1,1
ARIR,gene:proph:181220,0,0,1,1
ARIR,gene:proph:183636,0,1,0,1
ARIR,gene:proph:183637,0,0,1,1
ARIR,gene:proph:183637,0,1,0,1
ARSB,gene:proph:161537,0,1,0,1
ARSB,gene:proph:169464,0,1,0,1
ARSB,gene:proph:169511,0,1,0,1
ARSB,gene:proph:172517,0,1,0,1
ARSBM,gene:proph:184639,0,1,0,1
ARSCM,gene:proph:173726,0,0,1,1
ARSRM,gene:proph:173723,0,0,1,1
ARSRM,gene:proph:183000,0,1,0,1
ARSRM,gene:proph:184917,0,0,1,1
ARSRM,gene:proph:184921,0,0,1,1
ASMA,gene:proph:176764,0,0,1,1
ASMA,gene:proph:176848,0,0,1,1
ASMA,gene:proph:176915,0,1,0,1
ASMA,gene:proph:176925,0,1,0,1
ASMA,gene:proph:177640,0,0,1,1
ASMA,gene:proph:181201,0,0,1,1
ASMA,gene:proph:181234,0,0,1,1
ASMA,gene:proph:181287,0,0,1,1
ASMA,gene:proph:183006,0,0,1,1
ASMA,gene:proph:183010,0,0,1,1
ASMA,gene:proph:183025,0,0,1,1
ASMA,gene:proph:183581,0,1,0,1
ASMA,gene:proph:183615,0,0,1,1
ASMA,gene:proph:183616,0,0,1,1
ASMA,gene:proph:183617,0,0,1,1
ASMA,gene:proph:183625,0,0,1,1
ASR,gene:proph:159027,0,1,0,1
ASR,gene:proph:159058,1,0,0,1
ASR,gene:proph:159060,0,1,0,1
ASR,gene:proph:159064,0,0,1,1
ASR,gene:proph:159065,0,0,1,1
ASR,gene:proph:159065,0,1,0,1
ASR,gene:proph:159066,0,0,1,2
ASR,gene:proph:159066,0,1,0,1
ASR,gene:proph:159067,0,1,0,1
ASR,gene:proph:159069,0,1,0,1
ASR,gene:proph:159070,0,0,1,2
ASR,gene:proph:159070,0,1,0,1
ASR,gene:proph:159071,0,0,1,1
ASR,gene:proph:159071,0,1,0,1
ASR,gene:proph:159074,0,0,1,2
ASR,gene:proph:159074,0,1,0,1
ASR,gene:proph:159076,1,0,0,1
ASR,gene:proph:163818,0,0,1,1
ASR,gene:proph:163918,0,0,1,4
ASR,gene:proph:163918,0,1,0,1
ASR,gene:proph:163918,1,0,0,1
ASR,gene:proph:163921,0,0,1,4
ASR,gene:proph:163921,0,1,1,1
ASR,gene:proph:163921,1,0,0,1
ASR,gene:proph:163926,0,0,1,1
ASR,gene:proph:163926,0,1,0,1
ASR,gene:proph:163927,0,0,1,4
ASR,gene:proph:163927,0,1,1,1
ASR,gene:proph:163927,1,0,0,1
ASR,gene:proph:163928,0,1,0,1
ASR,gene:proph:163929,0,0,1,2
ASR,gene:proph:163929,0,1,0,1
ASR,gene:proph:163930,0,0,1,2
ASR,gene:proph:163930,0,1,0,1
ASR,gene:proph:163931,0,0,1,2
ASR,gene:proph:163931,0,1,0,1
ASR,gene:proph:163934,0,0,1,4
ASR,gene:proph:163934,0,1,0,1
ASR,gene:proph:163934,1,0,0,1
ASR,gene:proph:163935,0,0,1,4
ASR,gene:proph:163935,0,1,0,1
ASR,gene:proph:163935,1,0,0,1
ASR,gene:proph:163937,0,0,1,3
ASR,gene:proph:163937,0,1,0,1
ASR,gene:proph:163938,0,0,1,2
ASR,gene:proph:163938,0,1,0,1
ASR,gene:proph:163939,0,0,1,1
ASR,gene:proph:163939,0,1,0,1
ASR,gene:proph:163941,0,1,0,1
ASR,gene:proph:163942,0,0,1,4
ASR,gene:proph:163942,0,1,1,1
ASR,gene:proph:163942,1,0,0,1
ASR,gene:proph:163944,0,0,1,3
ASR,gene:proph:163944,0,1,0,1
ASR,gene:proph:163947,0,0,1,4
ASR,gene:proph:163947,0,1,0,1
ASR,gene:proph:163947,1,0,0,1
ASR,gene:proph:163948,0,0,1,1
ASR,gene:proph:169106,0,0,1,1
ASR,gene:proph:169106,0,1,0,1
ASR,gene:proph:169106,1,0,0,1
ASR,gene:proph:169107,1,0,0,1
ASR,gene:proph:169108,1,0,0,1
ASR,gene:proph:169464,0,0,1,1
ASR,gene:proph:169512,0,0,1,1
ASR,gene:proph:172400,0,0,1,1
ASR,gene:proph:172443,0,1,0,1
ASR,gene:proph:172517,0,0,1,1
ASR,gene:proph:172550,0,0,1,1
ASR,gene:proph:172550,0,1,0,1
ASR,gene:proph:172551,1,0,0,1
ASR,gene:proph:172557,1,0,0,1
ASR,gene:proph:172559,0,0,1,1
ASR,gene:proph:173506,0,0,1,1
ASR,gene:proph:173881,0,0,1,1
