ARG_ID,MGE_ID,Donor,Pre,Post,PatientCount
ACRA,gene:vir:1321,0,0,1,1
ACRD,gene:vir:104367,0,1,0,1
ACRD,gene:vir:105421,0,1,0,1
ACRD,gene:vir:6834,0,0,1,1
ACRD,gene:vir:6834,0,1,0,1
ACRD,gene:vir:6834,1,0,0,1
ACRD,gene:vir:7156,0,0,1,1
ACRD,gene:vir:7156,0,1,0,3
ACRD,gene:vir:95310,0,1,0,1
ACRD,gene:vir:95311,0,1,0,1
ACRD,gene:vir:95313,0,1,0,1
ACRD,gene:vir:95314,0,1,0,1
ACRD,gene:vir:95318,0,1,0,1
ACRD,gene:vir:95319,0,1,0,1
ACRD,gene:vir:95322,0,1,0,1
ACRD,gene:vir:95323,0,1,0,1
ACRD,gene:vir:95324,0,1,0,1
ACRD,gene:vir:95326,0,1,0,1
ACRD,gene:vir:95330,0,1,0,1
ACRD,gene:vir:95331,0,1,0,1
ACRD,gene:vir:95347,0,1,0,1
ACRD,gene:vir:95348,0,1,0,1
ACRD,gene:vir:95349,0,1,0,1
ACRD,gene:vir:95350,0,1,0,1
ACRD,gene:vir:95351,0,1,0,1
ACRD,gene:vir:95352,0,1,0,1
ACRD,gene:vir:95353,0,1,0,1
ACRD,gene:vir:95355,0,1,0,1
ACRD,gene:vir:95356,0,1,0,1
ACRD,gene:vir:95357,0,1,0,1
ACRD,gene:vir:95359,0,1,0,1
ARIR,gene:vir:105410,0,1,0,1
ARIR,gene:vir:79556,0,0,1,1
ARIR,gene:vir:79588,0,0,1,1
ARIR,gene:vir:93595,0,0,1,1
ARIR,gene:vir:93604,0,0,1,1
ARSRM,gene:vir:101322,0,0,1,1
ARSRM,gene:vir:101355,0,0,1,1
ARSRM,gene:vir:101356,0,0,1,1
ARSRM,gene:vir:101391,0,0,1,1
ARSRM,gene:vir:101417,0,0,1,1
ASMA,gene:vir:105390,0,0,1,1
ASMA,gene:vir:105395,0,0,1,1
ASMA,gene:vir:105401,0,0,1,1
ASMA,gene:vir:105404,0,0,1,1
ASMA,gene:vir:105416,0,0,1,1
ASMA,gene:vir:105726,0,0,1,1
ASMA,gene:vir:105727,0,0,1,1
ASMA,gene:vir:105728,0,0,1,1
ASMA,gene:vir:1321,0,1,0,1
ASMA,gene:vir:147,0,0,1,1
ASMA,gene:vir:148,0,0,1,1
ASMA,gene:vir:149,0,0,1,1
ASMA,gene:vir:150,0,0,1,1
ASMA,gene:vir:151,0,0,1,1
ASMA,gene:vir:1919,0,0,1,1
ASMA,gene:vir:1921,0,0,1,1
ASMA,gene:vir:2040,0,1,0,1
ASMA,gene:vir:213,0,0,1,1
ASMA,gene:vir:219,0,0,1,1
ASMA,gene:vir:3477,0,0,1,1
ASMA,gene:vir:5718,0,1,0,1
ASR,gene:vir:105371,0,0,1,1
ASR,gene:vir:105430,0,0,1,1
ASR,gene:vir:105726,0,0,1,1
ASR,gene:vir:105727,0,0,1,1
ASR,gene:vir:105728,0,0,1,1
ASR,gene:vir:108417,1,0,0,1
ASR,gene:vir:108421,1,0,0,1
ASR,gene:vir:133,0,0,1,1
ASR,gene:vir:150,0,0,1,1
ASR,gene:vir:151,0,0,1,1
ASR,gene:vir:154,0,0,1,1
ASR,gene:vir:236,0,0,1,1
ASR,gene:vir:243,0,0,1,1
ASR,gene:vir:3474,0,0,1,1
ASR,gene:vir:3486,0,1,0,1
ASR,gene:vir:79544,0,1,0,1
BAES,gene:vir:2013,0,0,1,1
BAES,gene:vir:2016,0,0,1,1
BAES,gene:vir:2019,0,0,1,1
BAES,gene:vir:2021,0,0,1,1
BAES,gene:vir:2022,0,0,1,1
BAES,gene:vir:2024,0,0,1,1
BAES,gene:vir:2025,0,0,1,1
BAES,gene:vir:2028,0,0,1,1
BAES,gene:vir:2029,0,0,1,1
BAES,gene:vir:2030,0,0,1,1
BAES,gene:vir:2031,0,0,1,1
BAES,gene:vir:2036,0,0,1,1
BAES,gene:vir:2039,0,0,1,1
BAES,gene:vir:2044,0,0,1,1
BAES,gene:vir:2045,0,0,1,1
BAES,gene:vir:5693,0,0,1,1
BAES,gene:vir:5698,0,0,1,1
BAES,gene:vir:5709,0,0,1,1
BAES,gene:vir:5718,0,0,1,1
BAES,gene:vir:5722,0,0,1,1
BAES,gene:vir:6062,0,0,1,1
BAES,gene:vir:6063,0,0,1,1
BAES,gene:vir:6068,0,0,1,1
BAES,gene:vir:6071,0,0,1,1
BAES,gene:vir:6079,0,0,1,1
BAES,gene:vir:6081,0,0,1,1
BAES,gene:vir:6085,0,0,1,1
BCR,gene:vir:104409,0,0,1,1
BCR,gene:vir:108421,0,0,1,1
BCR,gene:vir:450,0,0,1,1
BCR,gene:vir:809,0,0,1,1
BCR,gene:vir:8733,0,0,1,1
BCR,gene:vir:8776,0,0,1,1
BCR,gene:vir:8777,0,0,1,1
BHSA,gene:vir:104416,0,0,1,1
BHSA,gene:vir:108417,0,0,1,1
CEPAB,gene:vir:98538,1,0,0,1
CHAA,gene:vir:10232,0,0,1,1
CHAA,gene:vir:108541,0,0,1,1
