ARG_Name,MGE_Name,PatientCount,Label
AAC3,gene:plasmid:148234,1,PreFMT Only
AAC3,gene:plasmid:84283,1,PreFMT Only
AAC6-PRIME,gene:plasmid:13101,1,PreFMT Only
AAC6-PRIME,gene:plasmid:15632,1,PreFMT Only
AAC6-PRIME,gene:proph:167228,1,PreFMT Only
ACRA,gene:proph:170892,3,PreFMT Only
ACRA,gene:proph:173723,2,PreFMT Only
ACRD,gene:plasmid:142099,1,PreFMT Only
ACRD,gene:plasmid:15815,1,PreFMT Only
ACRD,gene:plasmid:15816,1,PreFMT Only
ACRD,gene:proph:163981,1,PreFMT Only
ACRD,gene:proph:176871,1,PreFMT Only
ACRD,gene:proph:176873,1,PreFMT Only
ACRD,gene:proph:176874,1,PreFMT Only
ACRD,gene:proph:176880,1,PreFMT Only
ACRD,gene:proph:176884,1,PreFMT Only
ACRD,gene:proph:176893,1,PreFMT Only
ACRD,gene:proph:176897,1,PreFMT Only
ACRD,gene:proph:176902,1,PreFMT Only
ACRD,gene:proph:176905,1,PreFMT Only
ACRD,gene:proph:176909,1,PreFMT Only
ACRD,gene:proph:182641,2,PreFMT Only
ACRD,gene:proph:182647,2,PreFMT Only
ACRD,gene:proph:182649,1,PreFMT Only
ACRD,gene:proph:183583,3,PreFMT Only
ACRD,gene:proph:183597,2,PreFMT Only
ACRD,gene:proph:184642,1,PreFMT Only
ACRD,gene:proph:184643,1,PreFMT Only
ACRD,gene:proph:184644,1,PreFMT Only
ACRD,gene:vir:104367,1,PreFMT Only
ACRD,gene:vir:105421,1,PreFMT Only
ACRD,gene:vir:6834,1,PreFMT Only
ACRD,gene:vir:7156,3,PreFMT Only
ACRD,gene:vir:95310,1,PreFMT Only
ACRD,gene:vir:95311,1,PreFMT Only
ACRD,gene:vir:95313,1,PreFMT Only
ACRD,gene:vir:95314,1,PreFMT Only
ACRD,gene:vir:95318,1,PreFMT Only
ACRD,gene:vir:95319,1,PreFMT Only
ACRD,gene:vir:95322,1,PreFMT Only
ACRD,gene:vir:95323,1,PreFMT Only
ACRD,gene:vir:95324,1,PreFMT Only
ACRD,gene:vir:95326,1,PreFMT Only
ACRD,gene:vir:95330,1,PreFMT Only
ACRD,gene:vir:95331,1,PreFMT Only
ACRD,gene:vir:95347,1,PreFMT Only
ACRD,gene:vir:95348,1,PreFMT Only
ACRD,gene:vir:95349,1,PreFMT Only
ACRD,gene:vir:95350,1,PreFMT Only
ACRD,gene:vir:95351,1,PreFMT Only
ACRD,gene:vir:95352,1,PreFMT Only
ACRD,gene:vir:95353,1,PreFMT Only
ACRD,gene:vir:95355,1,PreFMT Only
ACRD,gene:vir:95356,1,PreFMT Only
ACRD,gene:vir:95357,1,PreFMT Only
ACRD,gene:vir:95359,1,PreFMT Only
ACRS,gene:plasmid:123257,2,PreFMT Only
ACRS,gene:proph:163818,4,PreFMT Only
AMPH,gene:plasmid:21909,1,PreFMT Only
AMPH,gene:plasmid:87451,1,PreFMT Only
AMPH,gene:plasmid:87452,1,PreFMT Only
AMPH,gene:plasmid:88435,1,PreFMT Only
AMPH,gene:plasmid:88436,2,PreFMT Only
AMPH,gene:plasmid:88437,3,PreFMT Only
AMPH,gene:proph:173723,1,PreFMT Only
ANT3-DPRIME,IncI1_1_Alpha_AP005147,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:117709,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:117713,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:117736,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:117738,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:117742,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:117819,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:117821,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:117823,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:121415,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:121416,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:121436,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:121507,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:121510,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:121584,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:123367,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:151217,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:151237,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:151239,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:151240,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:151241,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:151243,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:151245,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:151273,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:151274,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:151275,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:151291,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:151429,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:152440,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:16015,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:19403,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:19404,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:19405,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:19407,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:19408,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:19409,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:19413,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:19447,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:19464,1,PreFMT Only
ANT3-DPRIME,gene:plasmid:19467,1,PreFMT Only
