ARG_Name,MGE_Name,Patient_ID,Label
TETX,gene:plasmid:133387,1,PostFMT Only
TETX,gene:plasmid:133390,1,PostFMT Only
TETX,gene:plasmid:133396,1,PostFMT Only
TETX,gene:plasmid:133397,1,PostFMT Only
TETX,gene:plasmid:133400,1,PostFMT Only
CFX,gene:plasmid:141426,3,PostFMT Only
ANT6,ICEberg|3|CTnDOT|GenBank|AJ...,4,PostFMT Only
AAC6-PRIME,gene:plasmid:15547,5,PostFMT Only
AAC6-PRIME,gene:plasmid:28968,5,PostFMT Only
AAC6-PRIME,gene:proph:167231,5,PostFMT Only
CFX,gene:plasmid:141426,5,PostFMT Only
MEFE,gene:plasmid:141426,5,PostFMT Only
ASMA,gene:proph:176764,6,PostFMT Only
ASMA,gene:proph:177640,6,PostFMT Only
ASMA,gene:proph:181201,6,PostFMT Only
ASMA,gene:proph:181287,6,PostFMT Only
ASMA,gene:proph:183006,6,PostFMT Only
ASMA,gene:proph:183010,6,PostFMT Only
ASMA,gene:proph:183025,6,PostFMT Only
ASMA,gene:proph:183615,6,PostFMT Only
ASMA,gene:proph:183616,6,PostFMT Only
ASMA,gene:proph:183617,6,PostFMT Only
ASMA,gene:proph:183625,6,PostFMT Only
ASMA,gene:vir:105395,6,PostFMT Only
ASMA,gene:vir:105401,6,PostFMT Only
ASMA,gene:vir:105404,6,PostFMT Only
ASMA,gene:vir:105416,6,PostFMT Only
ASMA,gene:vir:105726,6,PostFMT Only
ASMA,gene:vir:105727,6,PostFMT Only
ASMA,gene:vir:105728,6,PostFMT Only
ASMA,gene:vir:147,6,PostFMT Only
ASMA,gene:vir:148,6,PostFMT Only
ASMA,gene:vir:149,6,PostFMT Only
ASMA,gene:vir:150,6,PostFMT Only
ASMA,gene:vir:151,6,PostFMT Only
ASMA,gene:vir:3477,6,PostFMT Only
ASR,gene:proph:163918,6,PostFMT Only
ASR,gene:proph:163921,6,PostFMT Only
ASR,gene:proph:163927,6,PostFMT Only
ASR,gene:proph:163934,6,PostFMT Only
ASR,gene:proph:163935,6,PostFMT Only
ASR,gene:proph:163942,6,PostFMT Only
ASR,gene:proph:163947,6,PostFMT Only
BCR,gene:proph:161601,6,PostFMT Only
BCR,gene:proph:161602,6,PostFMT Only
BCR,gene:proph:172477,6,PostFMT Only
BCR,gene:proph:172581,6,PostFMT Only
BCR,gene:proph:172582,6,PostFMT Only
BCR,gene:proph:172610,6,PostFMT Only
BCR,gene:proph:172665,6,PostFMT Only
BCR,gene:proph:176786,6,PostFMT Only
BCR,gene:proph:176788,6,PostFMT Only
BCR,gene:proph:176789,6,PostFMT Only
BCR,gene:proph:177548,6,PostFMT Only
BCR,gene:proph:177619,6,PostFMT Only
BCR,gene:proph:177622,6,PostFMT Only
BCR,gene:proph:177629,6,PostFMT Only
BCR,gene:proph:177630,6,PostFMT Only
BCR,gene:proph:177683,6,PostFMT Only
BCR,gene:proph:177695,6,PostFMT Only
BCR,gene:proph:181182,6,PostFMT Only
BCR,gene:proph:181184,6,PostFMT Only
BCR,gene:proph:181208,6,PostFMT Only
BCR,gene:vir:104409,6,PostFMT Only
BCR,gene:vir:108421,6,PostFMT Only
BCR,gene:vir:450,6,PostFMT Only
BCR,gene:vir:809,6,PostFMT Only
BCR,gene:vir:8733,6,PostFMT Only
BCR,gene:vir:8776,6,PostFMT Only
BCR,gene:vir:8777,6,PostFMT Only
CEPA,ICEberg|65|CTnGERM1|GenBank...,6,PostFMT Only
COMR,gene:proph:172517,6,PostFMT Only
COMR,gene:proph:172518,6,PostFMT Only
COMR,gene:proph:172519,6,PostFMT Only
COMR,gene:proph:172520,6,PostFMT Only
COMR,gene:proph:172521,6,PostFMT Only
COMR,gene:proph:172522,6,PostFMT Only
COMR,gene:proph:172523,6,PostFMT Only
COMR,gene:proph:172524,6,PostFMT Only
COPA,gene:plasmid:123175,6,PostFMT Only
COPA,gene:plasmid:88435,6,PostFMT Only
COPA,gene:plasmid:88436,6,PostFMT Only
COPA,gene:plasmid:88437,6,PostFMT Only
CORA,gene:proph:159396,6,PostFMT Only
CORB,gene:proph:170528,6,PostFMT Only
CORB,gene:proph:170536,6,PostFMT Only
CORB,gene:proph:170537,6,PostFMT Only
CRP,gene:plasmid:120162,6,PostFMT Only
CUSR,gene:plasmid:117449,6,PostFMT Only
DFRA,gene:plasmid:19639,6,PostFMT Only
DFRA,gene:plasmid:87421,6,PostFMT Only
DNAK,gene:plasmid:111621,6,PostFMT Only
DSBA,gene:plasmid:84585,6,PostFMT Only
DSBC,gene:plasmid:114080,6,PostFMT Only
DSBC,gene:plasmid:114251,6,PostFMT Only
DSBC,gene:plasmid:114252,6,PostFMT Only
DSBC,gene:plasmid:151309,6,PostFMT Only
ERMB,gene:plasmid:136912,6,PostFMT Only
FABI,gene:proph:179433,6,PostFMT Only
FABI,gene:proph:183636,6,PostFMT Only
FABI,gene:proph:183637,6,PostFMT Only
FABI,gene:vir:1321,6,PostFMT Only
HNS,gene:proph:163918,6,PostFMT Only
HNS,gene:proph:163934,6,PostFMT Only
HNS,gene:proph:163947,6,PostFMT Only
HNS,gene:proph:169106,6,PostFMT Only
HNS,gene:proph:172549,6,PostFMT Only
HNS,gene:proph:172550,6,PostFMT Only
HNS,gene:proph:172575,6,PostFMT Only
HNS,gene:proph:172576,6,PostFMT Only
HNS,gene:proph:172582,6,PostFMT Only
HNS,gene:proph:172583,6,PostFMT Only
HNS,gene:proph:172596,6,PostFMT Only
HNS,gene:proph:172598,6,PostFMT Only
HNS,gene:proph:173951,6,PostFMT Only
HNS,gene:proph:176802,6,PostFMT Only
HNS,gene:proph:176803,6,PostFMT Only
HNS,gene:proph:176804,6,PostFMT Only
HNS,gene:proph:176811,6,PostFMT Only
HNS,gene:proph:176812,6,PostFMT Only
HNS,gene:proph:177498,6,PostFMT Only
HNS,gene:proph:177510,6,PostFMT Only
HNS,gene:proph:177598,6,PostFMT Only
HNS,gene:vir:10093,6,PostFMT Only
HNS,gene:vir:104372,6,PostFMT Only
HNS,gene:vir:104392,6,PostFMT Only
HNS,gene:vir:104416,6,PostFMT Only
HNS,gene:vir:108421,6,PostFMT Only
HNS,gene:vir:108646,6,PostFMT Only
HNS,gene:vir:3289,6,PostFMT Only
HNS,gene:vir:469,6,PostFMT Only
HNS,gene:vir:93619,6,PostFMT Only
MEFA,ICEberg|65|CTnGERM1|GenBank...,6,PostFMT Only
MNTH,gene:proph:181243,6,PostFMT Only
MODA,gene:plasmid:24510,6,PostFMT Only
MODA,gene:proph:163818,6,PostFMT Only
MODA,gene:proph:183644,6,PostFMT Only
MVRC,gene:proph:183581,6,PostFMT Only
QNRB,gene:plasmid:118151,6,PostFMT Only
QNRB,gene:plasmid:120829,6,PostFMT Only
RCNR,gene:proph:163807,6,PostFMT Only
RCNR,gene:proph:163814,6,PostFMT Only
RCNR,gene:proph:176922,6,PostFMT Only
RCNR,gene:vir:2013,6,PostFMT Only
RCNR,gene:vir:2015,6,PostFMT Only
RCNR,gene:vir:2023,6,PostFMT Only
RCNR,gene:vir:2024,6,PostFMT Only
RCNR,gene:vir:2025,6,PostFMT Only
RCNR,gene:vir:2026,6,PostFMT Only
RCNR,gene:vir:2028,6,PostFMT Only
RCNR,gene:vir:2036,6,PostFMT Only
RCNR,gene:vir:2043,6,PostFMT Only
RCNR,gene:vir:2044,6,PostFMT Only
RCNR,gene:vir:2045,6,PostFMT Only
RCNR,gene:vir:2046,6,PostFMT Only
RCNR,gene:vir:2050,6,PostFMT Only
RCNR,gene:vir:5698,6,PostFMT Only
RCNR,gene:vir:5699,6,PostFMT Only
RCNR,gene:vir:5706,6,PostFMT Only
RCNR,gene:vir:5707,6,PostFMT Only
