IDs,final_classification,genebank_id,accession_id,start,stop,gene_description,socus,sig_seq,is_family,group,origin,bits_score,e_value,final_call
gene:plasmid:10529,plasmid,1243271,NC_002579.1,14,451,single strand binding protein,pVT745_p01,ISEcret3,ISL3,,Endozoicomonas endosymbiont,34.2,0.19,plasmid
gene:plasmid:10530,plasmid,1243272,NC_002579.1,629,1207,site-specific recombinase,pVT745_p02,ISMco6,ISAzo13,,Methanosaeta concilii,32.2,1,plasmid
gene:plasmid:10531,plasmid,1243273,NC_002579.1,1211,2368,nickase,pVT745_p03,ISCbo10,IS607,,Clostridium botulinum,34.2,0.5,plasmid
gene:plasmid:10532,plasmid,1243274,NC_002579.1,2338,2634,hypothetical protein,pVT745_p04,ISMmy1,IS1634,,Mycoplasma mycoides,36.7,0.023,plasmid
gene:plasmid:10534,plasmid,1243276,NC_002579.1,4425,4799,hypothetical protein,pVT745_p06,ISSod10,IS630,,Shewanella oneidensis,36.2,0.041,plasmid
gene:plasmid:10538,plasmid,1243280,NC_002579.1,6527,6700,hypothetical protein,pVT745_p10,ISPpr2,IS4,IS10,Photobacterium profundum,32.2,0.28,plasmid
gene:plasmid:10539,plasmid,1243281,NC_002579.1,6888,7100,hypothetical protein,pVT745_p11,ISLpn11,ISL3,,Legionella pneumophila,34.2,0.088,plasmid
gene:plasmid:10540,plasmid,1243282,NC_002579.1,7407,8414,hypothetical protein,pVT745_p12,ISCep2,ISNCY,ISDol1,Crinalium epipsammum,38.2,0.028,plasmid
gene:plasmid:10541,plasmid,1243283,NC_002579.1,8795,8998,hypothetical protein,pVT745_p13,ISEfa17,ISL3,,Enterococcus faecium,30.2,1.3,plasmid
gene:plasmid:10545,plasmid,1243287,NC_002579.1,11235,11354,hypothetical protein,pVT745_p17,ISDau4,ISKra4,ISKra4,Desulfobacterium autotrophicum,32.4,0.17,plasmid
gene:plasmid:10546,plasmid,1243288,NC_002579.1,11407,11646,hypothetical protein,pVT745_p18,ISFnu8,IS3,IS150,Fusobacterium nucleatum,36.2,0.025,plasmid
gene:plasmid:10547,plasmid,1243289,NC_002579.1,11639,12280,partition protein,pVT745_p19,ISMmi1,IS5,,Methanobrevibacter millerae,32.3,1.1,plasmid
gene:plasmid:10548,plasmid,1243290,NC_002579.1,12303,12434,hypothetical protein,pVT745_p20,ISNtsp5,IS1595,,Nitrosomonas sp.,32.2,0.21,plasmid
gene:plasmid:10551,plasmid,1243293,NC_002579.1,13223,13555,hypothetical protein,pVT745_p23,IS4Sa,IS4,IS4Sa,Synechocystis sp.,34.2,0.14,plasmid
gene:plasmid:10552,plasmid,1243294,NC_002579.1,13539,13976,lipoprotein,pVT745_p24,ISKpn60,IS110,,Klebsiella pneumoniae,34.2,0.19,plasmid
gene:plasmid:10553,plasmid,1243295,NC_002579.1,14010,15749,ATPase,pVT745_p25,ISTco5,ISNCY,ISDol1,Thermobacillus composti,34.2,0.77,plasmid
gene:plasmid:10554,plasmid,1243296,NC_002579.1,15749,16780,ATPase,pVT745_p26,ISApu1,IS4,ISH8,Aeromonas punctata,34.2,0.45,plasmid
gene:plasmid:10555,plasmid,1243297,NC_002579.1,16793,17902,hypothetical protein,pVT745_p27,TnBth3,Tn3,,Bacillus thuringiensis,32.2,1.9,plasmid
gene:plasmid:10556,plasmid,1243298,NC_002579.1,17912,18781,hypothetical protein,pVT745_p28,ISSe1,ISAs1,,Salmonella enterica,32.2,1.5,plasmid
gene:plasmid:10557,plasmid,1243299,NC_002579.1,18771,19457,hypothetical protein,pVT745_p29,ISNpu4,IS4,IS10,Nostoc punctiforme,38.2,0.018,plasmid
gene:plasmid:10558,plasmid,1243300,NC_002579.1,19454,19597,lipoprotein,pVT745_p30,ISLisp1,IS21,,Limnohabitans sp.,32.2,0.23,plasmid
gene:plasmid:10559,plasmid,1243301,NC_002579.1,19666,20667,hypothetical protein,pVT745_p31,ISDess1,IS1595,ISPna2,Desulfosporosinus sp.,34.2,0.43,plasmid
gene:plasmid:10560,plasmid,1243302,NC_002579.1,20677,20904,lipoprotein,pVT745_p32,ISPto4,IS3,IS3,Psychroflexus torquis,32.2,0.38,plasmid
gene:plasmid:10561,plasmid,1243303,NC_002579.1,20918,21694,hypothetical protein,pVT745_p33,ISNpu6,IS701,,Nostoc punctiforme,36.2,0.086,plasmid
gene:plasmid:10562,plasmid,1243304,NC_002579.1,21657,24428,ATPase,pVT745_p34,ISKpn25,ISL3,,Klebsiella pneumoniae,40.1,0.02,plasmid
gene:plasmid:10563,plasmid,1243305,NC_002579.1,24441,24728,hypothetical protein,pVT745_p35,ISMags1,ISNCY,ISDol1,Candidatus Magnetomorum,30.2,1.9,plasmid
gene:plasmid:10564,plasmid,1243306,NC_002579.1,24755,25405,hypothetical protein,pVT745_p36,ISHahy12,IS21,,Halanaerobium hydrogeniformans,34.2,0.29,plasmid
gene:plasmid:11340,likely IS/TE,1142202,NC_003064.1,360551,360895,hypothetical protein,AGR_pAT_531,ISRel15,IS66,,Rhizobium etli,422,2.00E-118,likely IS/TE
gene:plasmid:114985,plasmid,3722615,NC_002487.1,3774,4330,,pCollet_08,ISPa98,IS3,IS3,Pseudomonas aeruginosa,32.2,0.96,plasmid
gene:plasmid:115062,plasmid,4267554,NC_002502.1,730,1362,hypothetical protein,pCI305_p2,ISCpr4,IS1,,Candidatus Protochlamydia,32.2,1.1,plasmid
gene:plasmid:114049,plasmid,2986905,NC_003385.1,22944,23018,tRNA,HCM2_t01,ISBam4,IS1202,ISAba32,Burkholderia ambifaria,26.3,6.6,plasmid
gene:plasmid:110461,plasmid,2610359,NC_005127.1,1048,2249,,pUB101_p02,ISPph2,IS630,,Pelodictyon phaeoclathratiforme,38.2,0.034,plasmid
gene:plasmid:115923,likely IS/TE,1172649,NC_003131.1,2303,2950,,YPCD1.04,IS1222,IS3,IS407,Enterobacter agglomerans,1116,0,likely IS/TE
gene:plasmid:115935,likely IS/TE,1172714,NC_003131.1,49043,49624,,YPCD1.69,ISYpe1,IS3,IS407,Yersinia pestis,1102,0,likely IS/TE
gene:plasmid:110242,plasmid,3896971,NC_007773.1,635,1351,putative integrase/recombinase,pCPF5603_02,ISPye42,IS3,IS51,Paracoccus yeei,38.2,0.02,plasmid
gene:plasmid:110243,plasmid,3896972,NC_007773.1,1727,2038,hypothetical protein,pCPF5603_03,ISBth166,IS110,,Bacillus thuringiensis,34.2,0.13,plasmid
gene:plasmid:110244,plasmid,3896973,NC_007773.1,2039,2323,hypothetical protein,pCPF5603_04,ISAcur1,IS1595,IS1016,Acinetobacter ursingii,34.2,0.12,plasmid
gene:plasmid:110245,plasmid,3896974,NC_007773.1,2350,3114,adenine methyltransferase,pCPF5603_05,ISOt5,IS110,,Orientia tsutsugamushi,34.2,0.34,plasmid
gene:plasmid:110246,plasmid,3896975,NC_007773.1,3174,3398,hypothetical protein,pCPF5603_06,IS1151,IS4,IS231,Clostridium perfringens,34.2,0.094,plasmid
gene:plasmid:110247,plasmid,3896976,NC_007773.1,3402,3704,hypothetical protein,pCPF5603_07,IS982,IS982,,Lactococcus lactis,34.2,0.13,plasmid
gene:plasmid:110248,plasmid,3896977,NC_007773.1,3715,4359,sortase family protein,pCPF5603_08,ISClsp6,IS1595,ISPna2,Clostridium sp.,36.2,0.071,plasmid
gene:plasmid:110249,plasmid,3896978,NC_007773.1,4750,5007,hypothetical protein,pCPF5603_09,ISAbe13,IS5,IS427,Acinetobacter bereziniae,32.2,0.43,plasmid
gene:plasmid:110250,plasmid,3896979,NC_007773.1,5222,8785,collagen adhesion protein,pCPF5603_10,ISOt3,IS630,,Orientia tsutsugamushi,36.2,0.4,plasmid
gene:plasmid:110251,plasmid,3896980,NC_007773.1,8925,9299,PemK family protein,pCPF5603_11,ISFac4,IS200/IS605,IS605,Ferroplasma acidarmanus,32.2,0.64,plasmid
gene:plasmid:110252,plasmid,3896981,NC_007773.1,9369,10472,hypothetical protein,pCPF5603_12,ISSth1b,IS3,IS150,Streptococcus thermophilus,32.2,1.9,plasmid
